pref_code,pref_name,muni_code,muni_name,muni_type,tri,n_wards,ward_codes,population,fraud_count_raw,fraud_count,fraud_count_frac,fraud_any,gini_2019,vrm_mean,tri_mean,elev_sd_m,TRI_pref,TRI_within,TRI_within_z,TRI_pref_z,TRI_z,pref_pop,log_pref_pop,log_pref_pop_z,Gini_z,log_pop,log_pop_z,VRM_pref_z,fraud_rate_per_100k,log_offset,pref_id
35,山口県,35210,光市,市,28.576754189938317,1,['35210'],51324,0.0,0,0.0,0,0.268,0.0040707127471831,40.01896409536412,184.15808993829205,38.18173809978662,-9.604983909848304,-0.535707360853255,0.5039042364852201,-0.12712255305391093,1383079,14.139822731213604,-0.7118649149762911,-0.8583054083628495,10.845913758014909,0.4921005651766231,-0.25117203597437326,0.0,10.845913758014909,34
35,山口県,35204,萩市,市,42.47200256024549,1,['35204'],47625,1.0,1,1.0,1,0.268,0.0040707127471831,40.01896409536412,184.15808993829205,38.18173809978662,4.2902644604588716,0.2392847581054651,0.5039042364852201,0.4934478133079614,1383079,14.139822731213604,-0.7118649149762911,-0.8583054083628495,10.771113112429003,0.44623916668360714,-0.25117203597437326,2.099737532808399,10.771113112429003,34
35,山口県,35206,防府市,市,33.47019173302517,1,['35206'],116435,0.0,0,0.0,0,0.268,0.0040707127471831,40.01896409536412,184.15808993829205,38.18173809978662,-4.711546366761453,-0.26278129077213447,0.5039042364852201,0.09142138714449055,1383079,14.139822731213604,-0.7118649149762911,-0.8583054083628495,11.665088456367336,0.9943488677449548,-0.25117203597437326,0.0,11.665088456367336,34
35,山口県,35203,山口市,市,42.424863614923765,1,['35203'],192246,0.0,0,0.0,0,0.268,0.0040707127471831,40.01896409536412,184.15808993829205,38.18173809978662,4.2431255151371445,0.23665563553444072,0.5039042364852201,0.4913425589225322,1383079,14.139822731213604,-0.7118649149762911,-0.8583054083628495,12.166531080909564,1.3017908670135805,-0.25117203597437326,0.0,12.166531080909564,34
36,徳島県,36489,東みよし町,町,71.60861113728663,1,['36489'],14456,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,23.872372840521898,1.331455208226672,1.2162668149976539,1.7947067312726765,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,9.578864832272064,-0.28474614835747875,2.2639935931647255,0.0,9.578864832272064,35
36,徳島県,36468,つるぎ町,町,87.44250272155972,1,['36468'],8959,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,39.70626442479499,2.214573009595427,1.2162668149976539,2.5018580998213555,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,9.100413892597578,-0.5780916005510609,2.2639935931647255,0.0,9.100413892597578,35
36,徳島県,36405,上板町,町,29.62006108894213,1,['36405'],12087,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-18.116177207822602,-1.0104097593335595,1.2162668149976539,-0.08052782316580082,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,9.399885773859458,-0.3944808953703025,2.2639935931647255,0.0,9.399885773859458,35
36,徳島県,36341,石井町,町,9.04995656237814,1,['36341'],25967,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-38.68628173438659,-2.1576846024597907,1.2162668149976539,-0.9992013842249782,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,10.164581780078812,0.07436570337952743,2.2639935931647255,0.0,10.164581780078812,35
36,徳島県,36403,藍住町,町,1.0062546694227137,1,['36403'],35233,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-46.729983627342015,-2.60631318455947,1.2162668149976539,-1.3584380741774793,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,10.469738422407529,0.26146182089304926,2.2639935931647255,0.0,10.469738422407529,35
36,徳島県,36402,北島町,町,0.6852184121106807,1,['36402'],23260,0.0,0,0.0,0,0.285,0.010638299982107,67.58550083771408,383.6550343675164,47.73623829676473,-47.05101988465405,-2.6242186269586503,1.2162668149976539,-1.3727757515263272,750519,13.528520246190894,-1.3719022707140798,0.22569321099667988,10.054490426072656,0.00686704187514942,2.2639935931647255,0.0,10.054490426072656,35
