Prefecture,Municipality,TRI,TRI_z,TRI_pref,TRI_pref_z,Population,fraud_count,fraud_any,fraud_rate_per_100k
群馬県,前橋市,17.092629903967733,-0.5669127350805285,47.14534870289505,0.6355637035000399,329120,3,1,0.9115216334467672
群馬県,千代田町,1.5257072877749127,-1.255374237221742,47.14534870289505,0.6355637035000399,10848,0,0,0
群馬県,南牧村,76.30817265414343,2.051949227365822,47.14534870289505,0.6355637035000399,1427,0,0,0
群馬県,吉岡町,14.458004486333504,-0.683431472747864,47.14534870289505,0.6355637035000399,22643,0,0,0
群馬県,大泉町,1.7379480316104277,-1.2459876946841326,47.14534870289505,0.6355637035000399,41653,0,0,0
群馬県,太田市,4.359842060265151,-1.1300320144300882,47.14534870289505,0.6355637035000399,223075,0,0,0
群馬県,嬬恋村,43.58067599284153,0.6045455196269585,47.14534870289505,0.6355637035000399,9073,0,0,0
群馬県,安中市,38.86715091032531,0.3960855279704284,47.14534870289505,0.6355637035000399,53790,0,0,0
群馬県,富岡市,27.951789248286392,-0.08665640320901816,47.14534870289505,0.6355637035000399,45172,0,0,0
群馬県,川場村,53.15541625008187,1.0279972334072247,47.14534870289505,0.6355637035000399,2973,0,0,0
群馬県,明和町,1.1324655064015832,-1.272765717489483,47.14534870289505,0.6355637035000399,10751,0,0,0
群馬県,昭和村,25.80063571511287,-0.1817931511263291,47.14534870289505,0.6355637035000399,6938,0,0,0
群馬県,東吾妻町,42.23127951814959,0.5448672166729688,47.14534870289505,0.6355637035000399,12061,0,0,0
群馬県,板倉町,1.3088801887232029,-1.264963615546446,47.14534870289505,0.6355637035000399,13461,0,0,0
群馬県,桐生市,45.401933962689384,0.685092332161623,47.14534870289505,0.6355637035000399,101185,0,0,0
群馬県,榛東村,25.71795239923812,-0.1854498969875781,47.14534870289505,0.6355637035000399,14634,0,0,0
群馬県,沼田市,57.597864764247554,1.2244686139526697,47.14534870289505,0.6355637035000399,43532,0,0,0
群馬県,渋川市,35.31555460504767,0.23901290754208665,47.14534870289505,0.6355637035000399,72090,0,0,0
群馬県,片品村,64.78996103910477,1.5425457013136523,47.14534870289505,0.6355637035000399,3928,0,0,0
群馬県,玉村町,1.5028697461120388,-1.2563842485532095,47.14534870289505,0.6355637035000399,35620,0,0,0
群馬県,甘楽町,46.57698534517181,0.737060062703012,47.14534870289505,0.6355637035000399,12368,0,0,0
群馬県,神流町,79.97839648194527,2.2142682593275103,47.14534870289505,0.6355637035000399,1511,0,0,0
群馬県,草津町,40.78430887077361,0.48087360598908985,47.14534870289505,0.6355637035000399,6055,0,0,0
群馬県,藤岡市,46.2758310032204,0.7237412343290243,47.14534870289505,0.6355637035000399,61551,0,0,0
群馬県,邑楽町,1.3031320798361907,-1.2652178309605258,47.14534870289505,0.6355637035000399,25558,0,0,0
群馬県,長野原町,40.63016312131166,0.4740563681290606,47.14534870289505,0.6355637035000399,5082,0,0,0
群馬県,館林市,1.1897200205494003,-1.2702335838246337,47.14534870289505,0.6355637035000399,73667,0,0,0
群馬県,高山村,38.963262542926536,0.4003361535169997,47.14534870289505,0.6355637035000399,3260,0,0,0
群馬県,高崎市,26.06251241385102,-0.17021141272920304,47.14534870289505,0.6355637035000399,365972,1,1,0.273244947700917
茨城県,かすみがうら市,5.683567240621699,-1.071489048131634,12.44801351479682,-1.7990918819312427,39893,1,1,2.5067054370440927
茨城県,つくばみらい市,2.1591527399356183,-1.2273595281959877,12.44801351479682,-1.7990918819312427,53503,0,0,0
茨城県,つくば市,8.38114471784348,-0.952186197600434,12.44801351479682,-1.7990918819312427,259000,0,0,0
茨城県,ひたちなか市,3.256394216467568,-1.178833012469684,12.44801351479682,-1.7990918819312427,154647,1,1,0.646633946988949
茨城県,下妻市,1.9204839305242491,-1.2379148762948269,12.44801351479682,-1.7990918819312427,42071,0,0,0
