prefecture,year,crime_count
愛媛,2017,9207
愛知,2017,65511
新潟,2017,12757
東京,2017,125251
栃木,2017,12767
沖縄,2017,8047
滋賀,2017,8737
熊本,2017,8288
石川,2017,5393
神奈川,2017,53628
福井,2017,3231
福岡,2017,42126
福島,2017,11127
秋田,2017,2428
群馬,2017,13105
茨城,2017,24809
長崎,2017,4264
長野,2017,9535
青森,2017,4608
静岡,2017,20869
香川,2017,5600
高知,2017,4635
鳥取,2017,2604
鹿児島,2017,6920
三重,2018,11247
京,2018,16821
佐賀,2018,3581
兵庫,2018,44233
北海道,2018,0
千葉,2018,46698
和歌山,2018,4848
埼玉,2018,60001
大分,2018,3331
大阪,2018,95558
奈良,2018,7764
宮城,2018,13755
宮崎,2018,4205
富山,2018,4846
山口,2018,5419
山形,2018,3614
山梨,2018,4123
岐阜,2018,13232
岡山,2018,9509
岩手,2018,3458
島根,2018,2631
広島,2018,14311
徳島,2018,3094
愛媛,2018,8626
愛知,2018,55080
新潟,2018,11137
東京,2018,114492
栃木,2018,11346
沖縄,2018,6878
滋賀,2018,7967
熊本,2018,6932
石川,2018,4722
神奈川,2018,46780
福井,2018,3197
福岡,2018,36701
福島,2018,10277
秋田,2018,2460
群馬,2018,12201
茨城,2018,22550
長崎,2018,3622
長野,2018,8825
青森,2018,4060
静岡,2018,19659
香川,2018,5222
高知,2018,4052
鳥取,2018,2110
鹿児島,2018,6704
三重,2019,10322
京,2019,15136
佐賀,2019,3400
兵庫,2019,40395
北海道,2019,0
千葉,2019,41793
和歌山,2019,4363
埼玉,2019,55497
大分,2019,3018
大阪,2019,84672
奈良,2019,6616
宮城,2019,12979
宮崎,2019,3993
富山,2019,4508
山口,2019,5196
山形,2019,3275
山梨,2019,3985
岐阜,2019,12857
岡山,2019,9436
岩手,2019,3063
島根,2019,2310
広島,2019,14160
徳島,2019,3111
愛媛,2019,7446
愛知,2019,49956
新潟,2019,10743
東京,2019,104664
栃木,2019,11155
沖縄,2019,6514
滋賀,2019,6771
熊本,2019,6498
石川,2019,4508
神奈川,2019,41780
福井,2019,3132
福岡,2019,34520
福島,2019,9416
秋田,2019,2162
群馬,2019,11699
茨城,2019,20312
長崎,2019,3394
長野,2019,8504
青森,2019,3488
静岡,2019,17876
香川,2019,4962
高知,2019,3562
鳥取,2019,2029
鹿児島,2019,5776
三重,2020,8560
京,2020,11851
佐賀,2020,3069
兵庫,2020,34246
北海道,2020,0
千葉,2020,34685
和歌山,2020,3899
埼玉,2020,44485
大分,2020,3087
大阪,2020,68351
奈良,2020,5774
宮城,2020,10193
