prefecture,year,crime_count,tri,population,tri_z,log_pop,t,tri_x_t
兵庫,2007,107378,33.43276950065225,5570618.0,-0.008899193196680871,15.533016557274834,1,-0.008899193196680871
千葉,2007,105185,7.7578900082776,6311190.0,-1.9494035926028013,15.657834806277036,1,-1.9494035926028013
和歌山,2007,15147,46.4366610498149,964598.0,0.9739334143738684,13.779466713216559,1,0.9739334143738684
埼玉,2007,126453,12.19376327999905,7377288.0,-1.614140807765194,15.813916649364657,1,-1.614140807765194
大分,2007,11567,39.00662127000445,1160218.0,0.4123718738506981,13.964118476460206,1,0.4123718738506981
大阪,2007,216303,17.783744614549438,10725709.0,-1.1916506700601754,16.188154127819477,1,-1.1916506700601754
奈良,2007,18299,35.50260287463157,1362781.0,0.14753857195183245,14.125038022787404,1,0.14753857195183245
宮城,2007,29216,20.37070067118007,2303098.0,-0.9961288328319627,14.64976573108895,1,-0.9961288328319627
宮崎,2007,11498,50.01463976760754,1103755.0,1.244356628820509,13.914228560901371,1,1.244356628820509
富山,2007,10648,43.294721943217034,1063293.0,0.7364660229171697,13.876881254339034,1,0.7364660229171697
山口,2007,15196,38.18173809978662,1383079.0,0.35002729999284743,14.139822731213604,1,0.35002729999284743
山形,2007,8708,38.47504315257469,1095383.0,0.37219526169534867,13.906614631766379,1,0.37219526169534867
山梨,2007,8435,61.35151765963628,832769.0,2.1011965384896256,13.632511571766825,1,2.1011965384896256
岐阜,2007,31252,34.803978168759436,2044114.0,0.09473659811272184,14.530475001744605,1,0.09473659811272184
岡山,2007,29257,34.5186564779249,1911722.0,0.07317201797613941,14.463514964532704,1,0.07317201797613941
岩手,2007,9102,37.59918131481275,1250142.0,0.3059977260865155,14.038767702826492,1,0.3059977260865155
島根,2007,6001,42.33789124458688,686126.0,0.6641488702415322,13.438816563311503,1,0.6641488702415322
広島,2007,32696,41.40092484685926,2838632.0,0.593333059112754,14.85883280394658,1,0.593333059112754
徳島,2007,8518,47.73623829676473,750519.0,1.072155311221455,13.528520246190894,1,1.072155311221455
愛媛,2007,18626,57.21635612050778,1381761.0,1.7886615113508608,14.138869330582946,1,1.7886615113508608
愛知,2007,143948,10.883867203704943,15130618.0,-1.7131426005318728,16.532230930931686,1,-1.7131426005318728
新潟,2007,25024,38.591502737018445,2259309.0,0.3809972635132434,14.630569572284342,1,0.3809972635132434
東京,2007,228805,16.955522243991485,27481464.0,-1.2542476202905202,17.129022299008525,1,-1.2542476202905202
栃木,2007,30358,18.515072814739696,1976121.0,-1.136376969932374,14.49664639023299,1,-1.136376969932374
沖縄,2007,15717,17.74619335350651,1475800.0,-1.1944887899928782,14.204710773606402,1,-1.1944887899928782
滋賀,2007,16553,21.63035830865412,1420080.0,-0.9009240554155826,14.166223766018685,1,-0.9009240554155826
熊本,2007,19553,35.4484955253761,1780079.0,0.14344914480178017,14.392168303305887,1,0.14344914480178017
石川,2007,10669,23.969825602776154,1145948.0,-0.7241073900108305,13.951742800009185,1,-0.7241073900108305
神奈川,2007,112529,25.07439573979091,14462286.0,-0.6406241078023847,16.48705485348609,1,-0.6406241078023847
福井,2007,7193,50.37581488422377,786503.0,1.2716542020363042,13.575351815840646,1,1.2716542020363042
福岡,2007,95207,23.005781585190512,4546317.0,-0.7969697244923494,15.329828012595692,1,-0.7969697244923494
