year,경찰서,살인,강도,절도,폭력,total,lat,lon,tri,province,pop,density,elevation,grdp_per_capita,median_age,young_male_ratio
2019,경기성남수정서,1,6,977,1564,2548,37.4420705,127.126709,286.7907731431624,경기,310363.63636363635,1339.4801373222167,43.0,36.5,41.5,0.132
2019,경기성남중원서,2,1,953,1635,2591,37.4426625,127.1701713,339.6867085283836,경기,310363.63636363635,1339.4801373222167,137.0,36.5,41.5,0.132
2019,경기분당서,1,6,1320,1722,3049,37.3651397,127.1054401,299.00293441393427,경기,310363.63636363635,1339.4801373222167,47.0,36.5,41.5,0.132
2019,경기부천소사서,3,2,826,1236,2067,37.4806467,126.7724798,102.03934739537998,경기,310363.63636363635,1339.4801373222167,62.0,36.5,41.5,0.132
2019,경기부천원미서,7,10,2255,2985,5257,37.5021403,126.7773256,100.09313159655368,경기,310363.63636363635,1339.4801373222167,16.0,36.5,41.5,0.132
2019,경기부천오정서,5,0,632,1047,1684,37.5145039,126.800308,113.06738750042568,경기,310363.63636363635,1339.4801373222167,23.0,36.5,41.5,0.132
2019,경기광명서,1,5,1066,1721,2793,37.4742112,126.8678172,150.47717909646116,경기,310363.63636363635,1339.4801373222167,22.0,36.5,41.5,0.132
2019,경기안산단원서,8,9,1928,3049,4994,37.3217659,126.8292412,117.2096870377128,경기,310363.63636363635,1339.4801373222167,21.0,36.5,41.5,0.132
2019,경기안산상록서,2,4,1049,2062,3117,37.3003,126.8467,128.2731683774876,경기,310363.63636363635,1339.4801373222167,19.0,36.5,41.5,0.132
2019,경기시흥서,3,15,1770,3355,5143,37.38,126.8028,99.16138448771288,경기,310363.63636363635,1339.4801373222167,25.0,36.5,41.5,0.132
2019,경기평택서,8,12,2183,4336,6539,36.9946626,127.0910004,82.25932048536914,경기,310363.63636363635,1339.4801373222167,14.0,36.5,41.5,0.132
2019,경기오산서,3,7,935,1689,2634,37.1498,127.0697,125.22033490831038,경기,310363.63636363635,1339.4801373222167,23.0,36.5,41.5,0.132
2019,경기화성서부서,8,6,1032,1958,3004,37.1913216,126.8227771,95.95178112872054,경기,310363.63636363635,1339.4801373222167,44.0,36.5,41.5,0.132
2019,경기용인동부서,6,6,1594,2521,4127,37.2412946,127.1809041,236.6901577809064,경기,310363.63636363635,1339.4801373222167,133.0,36.5,41.5,0.132
2019,경기용인서부서,2,1,757,1157,1917,37.2342,127.0189,122.72703467904834,경기,310363.63636363635,1339.4801373222167,23.0,36.5,41.5,0.132
2019,경기광주서,1,5,766,1852,2624,37.4084013,127.2396448,306.89113869893254,경기,310363.63636363635,1339.4801373222167,89.0,36.5,41.5,0.132
2019,경기과천서,1,0,191,215,407,37.4293426,126.9899759,387.304534534356,경기,310363.63636363635,1339.4801373222167,57.0,36.5,41.5,0.132
2019,경기의왕서,1,0,277,470,748,37.3449,126.9683,286.78029983048106,경기,310363.63636363635,1339.4801373222167,76.0,36.5,41.5,0.132
2019,경기하남서,0,1,741,1002,1744,37.539,127.2142,304.314250692383,경기,310363.63636363635,1339.4801373222167,30.0,36.5,41.5,0.132
2019,경기이천서,2,1,829,1554,2386,37.2719,127.435,165.8869260412873,경기,310363.63636363635,1339.4801373222167,79.0,36.5,41.5,0.132
2019,경기김포서,10,1,982,1805,2798,37.6153,126.7153,56.67139838640972,경기,310363.63636363635,1339.4801373222167,31.0,36.5,41.5,0.132
2019,경기안성서,5,5,652,1184,1846,37.0003381,127.249115,157.09102799311196,경기,310363.63636363635,1339.4801373222167,24.0,36.5,41.5,0.132
2019,경기여주서,0,13,420,634,1067,37.2933926,127.6349185,114.37069702014531,경기,310363.63636363635,1339.4801373222167,51.0,36.5,41.5,0.132
2019,경기양평서,3,2,207,538,750,37.4883054,127.4904171,497.1427784206991,경기,310363.63636363635,1339.4801373222167,40.0,36.5,41.5,0.132
2019,경기화성동탄서,6,1,1118,2310,3435,37.2006,127.0706,116.58139486792304,경기,310363.63636363635,1339.4801373222167,43.0,36.5,41.5,0.132
2019,경기의정부서,5,4,1605,3468,5082,37.7442616,127.0442759,371.2261703334111,경기,310363.63636363635,1339.4801373222167,56.0,36.5,41.5,0.132
2019,경기고양서,6,6,1071,2277,3360,37.6584,126.832,115.89372084546132,경기,310363.63636363635,1339.4801373222167,31.0,36.5,41.5,0.132
2019,경기일산동부서,2,1,762,1580,2345,37.6764,126.7806,52.833191919747634,경기,310363.63636363635,1339.4801373222167,25.0,36.5,41.5,0.132
2019,경기일산서부서,3,1,564,956,1524,37.6764,126.7506,53.8455156054416,경기,310363.63636363635,1339.4801373222167,17.0,36.5,41.5,0.132
2019,경기남양주남부서,14,7,1510,2691,4222,37.636,127.2164,338.907706911487,경기,310363.63636363635,1339.4801373222167,70.0,36.5,41.5,0.132
2019,경기파주서,5,4,937,1968,2914,37.7535393,126.778601,138.420340472076,경기,310363.63636363635,1339.4801373222167,35.0,36.5,41.5,0.132
2019,경기양주서,5,1,465,1185,1656,37.840955,127.0543368,288.7996370231672,경기,310363.63636363635,1339.4801373222167,86.0,36.5,41.5,0.132
2019,경기동두천서,2,1,352,618,973,37.9034,127.0604,399.61252508826,경기,310363.63636363635,1339.4801373222167,76.0,36.5,41.5,0.132
2019,경기구리서,1,4,832,1577,2414,37.5943,127.1295,170.88405794358425,경기,310363.63636363635,1339.4801373222167,51.0,36.5,41.5,0.132
2019,경기포천서,10,4,522,1048,1584,37.8936254,127.2044988,413.3124003913574,경기,310363.63636363635,1339.4801373222167,107.0,36.5,41.5,0.132
2019,경기가평서,2,1,182,445,630,37.8255117,127.5150321,430.2826086783879,경기,310363.63636363635,1339.4801373222167,62.0,36.5,41.5,0.132
2019,경기연천서,0,0,115,213,328,38.0982999,127.0737491,275.3721658554631,경기,310363.63636363635,1339.4801373222167,66.0,36.5,41.5,0.132
2019,강원강릉서,3,4,721,1386,2114,37.7519,128.8761,325.51278863469724,강원,90176.4705882353,91.0981697171381,99.0,31.2,46.5,0.105
2019,강원고성서,0,0,57,133,190,38.3768188,128.4767023,241.8304204224096,강원,90176.4705882353,91.0981697171381,32.0,31.2,46.5,0.105
