발생년도,경찰서,살인,강도,절도,폭력,tri,elevation,elev_std,elev_range,crime_name,lat,lon,province,log_tri,tri_within,total_crime,province_full,province_pop,province_area,province_density,n_stations,station_pop_estimate,log_pop,theft_rate,violence_rate,total_rate,district_pop,district_density,district_matched,final_pop,final_density,grdp_pc,median_age,young_male_ratio,unemployment,elderly_ratio
2024,서울중랑서,5,2,1437,1582,210.2562659693244,48.0,115.51555707449434,609.0,서울중랑서,37.6185399,127.1044858,서울,5.353071927190644,0.0197697134786784,3026,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,473.3503347146956,521.1135904792264,996.7697375411752,381000.0,20595.0,True,381000.0,20595.0,28.0,44.8,0.118,3.2,0.183
2024,서울강남서,8,12,1123,2103,175.9560659247199,27.0,89.30151143810679,380.0,서울강남서,37.509338,127.0670851,서울,5.175901486648782,-0.4987588496780079,3246,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,369.9181808521943,692.7319094676443,1069.238125597705,524000.0,13249.0,True,524000.0,13249.0,95.0,42.8,0.128,3.2,0.183
2024,서울관악서,4,3,1971,2169,204.19495812018664,86.0,77.83567118346836,321.0,서울관악서,37.4744307,126.9512477,서울,5.323960542430361,-0.0718612754303247,4147,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,649.2508766337265,714.4724258846031,1366.0291148655829,480000.0,16233.0,True,480000.0,16233.0,28.0,39.8,0.148,3.2,0.183
2024,서울강서서,5,6,1670,2056,68.0501696679672,17.0,28.97806748321441,161.0,서울강서서,37.5623742,126.8083173,서울,4.234833337027767,-2.130011415825938,3737,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,550.1009457018383,677.2500265646585,1230.974391669323,565000.0,13638.0,True,565000.0,13638.0,47.2,43.5,0.128,3.2,0.183
2024,서울강동서,3,4,1662,1517,214.27634921428736,26.0,92.58904849184329,428.0,서울강동서,37.5298016,127.1243425,서울,5.371922547961439,0.0805427697894335,3186,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,547.4657315906918,499.7024758261609,1049.4740197641058,440000.0,17893.0,True,440000.0,17893.0,35.0,42.2,0.128,3.2,0.183
2024,서울종암서,2,1,382,557,255.8185167732829,30.0,113.6564197068882,500.0,서울종암서,37.6099756,127.0514688,서울,5.548369675031271,0.708550782184938,942,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,125.83147380724684,183.4767824885772,310.296461587504,420000.0,17094.0,True,420000.0,17094.0,32.0,43.5,0.125,3.2,0.183
2024,서울구로서,7,0,1572,1613,161.30605696059283,21.0,71.2784639128235,451.0,서울구로서,37.494911,126.8866503,서울,5.089483793359573,-0.7202283480635231,3192,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,517.8195728402934,531.3250451599192,1051.4504303474655,394000.0,19582.0,True,394000.0,19582.0,42.0,43.2,0.125,3.2,0.183
2024,서울서초서,9,3,1309,1444,200.0576470308616,53.0,69.73998347379037,361.0,서울서초서,37.4955822,127.0053169,서울,5.303591668088053,-0.1344065075773721,2765,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,431.1869089363511,475.6561470619488,910.7958771650198,407000.0,8665.0,True,407000.0,8665.0,47.2,43.5,0.128,3.2,0.183
2024,서울양천서,4,1,1518,1368,110.57174941321227,18.0,56.00634666933603,266.0,서울양천서,37.5166702,126.8656467,서울,4.714667876442832,-1.4871972742237902,2891,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,500.0318775900542,450.6216130060568,952.3004994155776,430000.0,24713.0,True,430000.0,24713.0,32.0,43.5,0.122,3.2,0.183
2024,서울송파서,6,3,2502,2348,237.83270658364023,41.0,98.49749768004412,477.0,서울송파서,37.5020332,127.1270483,서울,5.475763334383025,0.4366527669338191,4859,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,824.1632132610775,773.4353416215068,1600.563170757624,653000.0,19278.0,True,653000.0,19278.0,52.0,41.5,0.132,3.2,0.183
2024,서울노원서,7,3,1508,1437,318.26239099226154,38.0,116.8003584375431,531.0,서울노원서,37.6423826,127.0714121,서울,5.766013306977811,1.6525374742333163,2955,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,496.737859951121,473.3503347146956,973.38221230475,498000.0,14051.0,True,498000.0,14051.0,24.0,44.2,0.118,3.2,0.183
2024,서울방배서,1,2,276,380,221.68128114076703,21.0,84.04071780784041,397.0,서울방배서,37.4813806,126.9829974,서울,5.4057415165804485,0.1924858111453851,659,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,90.91488683455532,125.1726702794602,217.07576240569543,407000.0,8665.0,True,407000.0,8665.0,85.0,43.2,0.125,3.2,0.183
2024,서울은평서,5,0,795,800,289.4387970874776,65.0,116.11588979474683,521.0,서울은평서,37.6283978,126.9284728,서울,5.671392872813198,1.2168007522018525,1600,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,261.8744022951865,263.52141111465306,527.0428222293061,462000.0,15549.0,True,462000.0,15549.0,28.0,45.5,0.112,3.2,0.183
2024,서울도봉서,7,0,800,861,392.94086000708586,33.0,122.40327779216582,574.0,서울도봉서,37.653659,127.0525779,서울,5.976200796526717,2.781478972727264,1668,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,263.52141111465306,283.61491871214537,549.4421421740517,310000.0,14976.0,True,310000.0,14976.0,26.0,45.8,0.105,3.2,0.183
2024,서울수서서,8,5,974,1234,211.25146987236965,22.0,99.39607915680156,459.0,서울수서서,37.4935909,127.0771583,서울,5.35777175036121,0.0348145717950414,2221,서울특별시,9411000,605,15555.371900826449,31,303580.6451612903,12.62340257135578,320.83731803209014,406.4817766443524,731.6013176070556,524000.0,13249.0,True,524000.0,13249.0,47.2,43.5,0.128,3.2,0.183
2024,부산중부서,1,1,571,644,211.5009703085985,24.0,85.5454878012748,498.0,부산중부서,35.1072303,129.0358104,부산,5.3589465545121575,-0.7455411468991405,1217,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,260.0971758275129,293.3495293045855,554.3577285150318,41000.0,14539.0,True,41000.0,14539.0,85.0,49.5,0.092,3.5,0.217
2024,부산동래서,3,4,1264,1097,301.46180236591255,12.0,93.79454111349798,469.0,부산동래서,35.1299725,129.0492088,부산,5.711954996327231,0.0622298488051671,2368,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,575.766778013969,499.6963255390221,1078.6516853932585,263000.0,15824.0,True,263000.0,15824.0,35.0,45.8,0.112,3.5,0.217
2024,부산영도서,2,1,443,488,258.5032712831074,6.0,88.9019760599031,409.0,부산영도서,35.093763,129.0366899,부산,5.5587693086270935,-0.3235008590282619,934,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,201.7916793197692,222.28970543577285,425.4479198299423,103000.0,7290.0,True,103000.0,7290.0,32.0,52.8,0.078,3.5,0.217
2024,부산동부서,2,5,572,730,301.46180236591255,12.0,93.79454111349798,469.0,부산동부서,35.1299725,129.0492088,부산,5.711954996327231,0.0622298488051671,1309,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,260.55268751897967,332.52353477072575,596.2648041299726,81000.0,8325.0,True,81000.0,8325.0,42.0,50.2,0.088,3.5,0.217
2024,부산진서,4,8,2677,2852,398.15766423969,24.0,129.070261676816,566.0,부산진서,35.1628,129.0542,부산,5.989356487309668,0.9304756268845068,5541,부산광역시,3293000,770,4276.623376623376,15,219533.3333333333,12.299259360256292,1219.4047980564833,1299.119344063164,2523.9902824172486,347000.0,11684.0,True,347000.0,11684.0,45.0,46.2,0.108,3.5,0.217
